route_id,primary_topology,secondary_phase,tertiary_phase,primary_product,secondary_product,tertiary_product,failure_label,framework_density,largest_free_sphere,accessible_volume_izc,largest_included_sphere,framework_descriptor_json
62,NON,,,Nonasil,,,success,17.6,1.56532,0.0,5.58485,"{""volume"": 4511.1925672044945, ""ring_size_0"": 6.0, ""ring_size_1"": 5.0, ""ring_size_2"": 4.0, ""framework_density"": 17.6, ""largest_free_sphere"": 1.56532, ""accessible_volume_izc"": 0.0, ""largest_free_sphere_a"": 1.24597, ""largest_free_sphere_b"": 1.56532, ""largest_free_sphere_c"": 1.43127, ""largest_free_sphere_izc"": 2.3, ""largest_included_sphere"": 5.58485, ""largest_free_sphere_a_izc"": 2.27, ""largest_free_sphere_b_izc"": 2.3, ""largest_free_sphere_c_izc"": 2.3, ""largest_included_sphere_a"": 5.57564, ""largest_included_sphere_b"": 5.57729, ""largest_included_sphere_c"": 5.5528, ""largest_included_sphere_fsp"": 5.57729, ""largest_included_sphere_izc"": 6.5, ""chan_num_channels"": 0.0, ""density"": 1.94625, ""sa_num_channels"": 0.0, ""avol_num_channels"": 0.0}"
63,,,,amorphous,,,failed_amorphous,,,,,
64,,,,amorphous,,,failed_amorphous,,,,,
65,*BEA,,,zeolite beta,PolB,,mixed_phase,,,,,
66,,,,amorphous,,,failed_amorphous,,,,,
67,,,,amorphous,,,failed_amorphous,,,,,
68,,,,amorphous,,,failed_amorphous,,,,,
69,,,,amorphous,,,failed_amorphous,,,,,
70,,,,amorphous,,,failed_amorphous,,,,,
71,,,,amorphous,,,failed_amorphous,,,,,
72,,,,amorphous,PolB,,failed_amorphous,,,,,
73,*BEA,,,zeolite beta,PolB,,mixed_phase,,,,,
74,*BEA/BEC,,,zeolite beta/PolC,,,success,,,,,
75,*BEA/BEC,,,zeolite beta/PolC,,,success,,,,,
76,BEC,,,PolC,,,success,15.1,5.8123,21.18,6.31016,"{""volume"": 2073.2101507621255, ""ring_size_0"": 12.0, ""ring_size_1"": 6.0, ""ring_size_2"": 5.0, ""ring_size_3"": 4.0, ""framework_density"": 15.1, ""largest_free_sphere"": 5.8123, ""accessible_volume_izc"": 21.18, ""largest_free_sphere_a"": 5.55914, ""largest_free_sphere_b"": 5.56135, ""largest_free_sphere_c"": 5.8123, ""largest_free_sphere_izc"": 6.09, ""largest_included_sphere"": 6.31016, ""largest_free_sphere_a_izc"": 6.09, ""largest_free_sphere_b_izc"": 6.09, ""largest_free_sphere_c_izc"": 6.09, ""largest_included_sphere_a"": 6.20314, ""largest_included_sphere_b"": 6.19435, ""largest_included_sphere_c"": 6.31016, ""largest_included_sphere_fsp"": 6.31016, ""largest_included_sphere_izc"": 6.95, ""chan_num_channels"": 1.0, ""density"": 1.53998, ""sa_num_channels"": 1.0, ""avol_num_channels"": 1.0}"
77,,,,,,,failed_amorphous,,,,,
